image_path,question,real_answer,formatted_pred,prediction
amt,How many red shapes are there?,4,1,1
imported_vqa,How many fence panels are there?,5,8,8
imported_vqa,How many elephants?,3,3,three
tdiuc_templates,How many backpacks are there?,6,2,two
imported_vqa,How many people are standing in this scene?,1,1,1
tdiuc_templates,How many wine glasses are there?,3,2,2
imported_vqa,How many different types of animals do you see?,1,1,1
imported_vqa,How many giraffes are in the picture?,5,5,five
imported_vqa,How many motorcycles are there?,6,10,ten
imported_vqa,How many food are on the table?,4,4,4
tdiuc_templates,How many people are there?,8,-1,more than ten
tdiuc_templates,How many people are there?,2,2,2
tdiuc_templates,How many bottles can you see?,3,7,7
tdiuc_templates,How many broccolis are there?,8,10,10
imported_genome,How many people are shown?,1,1,one
amt,How many zebra are part of the wildebeest herd in this image?,13,20,20
tdiuc_templates,How many people are there?,6,5,five
tdiuc_templates,How many sheep are in the picture?,11,8,eight
tdiuc_templates,How many people can be seen?,6,-1,many
imported_vqa,How many zebra's are grazing on grass?,5,4,4
tdiuc_templates,How many people are in the photo?,5,100,100
imported_vqa,How many fruit is in the picture?,4,4,4
imported_genome,How many people can be seen?,7,5,5
tdiuc_templates,How many people are there?,3,-1,more than ten
imported_genome,How many sheep are there?,5,5,5
imported_genome,How many boats are shown here?,6,10,10
tdiuc_templates,How many people are there?,8,8,8
imported_vqa,How many stickers are on the stop sign?,7,8,8
imported_genome,How many ambulances on the road?,1,1,1
generate,How many cares are to the left of the bike rider?,0,2,two
tdiuc_templates,How many umbrellas are in the picture?,3,3,three
tdiuc_templates,How many people are visible?,6,100,100
tdiuc_templates,How many bicycles are in the photo?,2,1,1
imported_genome,How many legs do the zebras have combined?,8,8,8
imported_genome,How many panes does the window have?,6,12,12
tdiuc_templates,How many surfboards are there?,11,20,twenty
tdiuc_templates,How many apples can you see?,5,6,6
tdiuc_templates,How many people are there?,7,-1,many
tdiuc_templates,How many umbrellas are there?,4,2,two
tdiuc_templates,How many cars are there?,4,20,20
tdiuc_templates,How many refrigerators are there?,1,1,one
imported_genome,How many sheep are there?,5,6,6
tdiuc_templates,How many people can be seen?,9,13,13
tdiuc_templates,How many knives are there?,7,13,13
tdiuc_templates,How many people are there?,5,4,four
tdiuc_templates,How many hot dogs can you see?,5,6,6
imported_genome,How many players are on the field?,4,5,5
imported_vqa,How many bottles of water can you see in the picture?,7,10,10
tdiuc_templates,How many umbrellas are in the photo?,6,5,5
imported_vqa,How many people are in the photo?,6,8,eight
imported_vqa,How many sports are represented in the photo?,3,3,3
tdiuc_templates,How many people are in the photo?,5,5,5
tdiuc_templates,How many cups can you see?,3,4,4
imported_vqa,How many traffic sign are on the pole?,5,3,three
tdiuc_templates,How many people are there?,6,10,10
tdiuc_templates,How many cars are there?,2,2,two
tdiuc_templates,How many people are there?,6,5,five
tdiuc_templates,How many books are in the picture?,2,-1,many
tdiuc_templates,How many clocks can be seen?,2,2,two
tdiuc_templates,How many vases are visible?,8,15,15
imported_vqa,How many toilets are in the picture?,8,10,10
imported_genome,How many horses are in the picture?,9,10,10
imported_vqa,How many balls in this picture?,5,5,5
tdiuc_templates,How many people are there?,7,10,10
imported_vqa,How many pieces of pizza are there?,2,2,2
imported_vqa,How many people are sitting?,3,2,two
tdiuc_templates,How many trucks are there?,2,1,one
amt,How many people are holding tennis rackets?,6,7,7
tdiuc_templates,How many people are visible?,6,9,9
imported_genome,"How many bikers have the blue, white and yellow uniforms?",6,8,8
imported_vqa,How many items are on this plate?,3,3,3
tdiuc_templates,How many people can be seen?,1,1,1
imported_genome,How many elephants are shown?,5,4,4
tdiuc_templates,How many bananas are there?,9,25,25
imported_genome,How many pillows are on the couch?,2,2,two
tdiuc_templates,How many oranges are visible?,9,7,7
imported_vqa,How many elephants are there?,1,1,one
imported_vqa,How many circles are there?,4,4,four
imported_vqa,How many slices is the pizza divided into?,6,6,6
tdiuc_templates,How many carrots are there?,6,2,2
tdiuc_templates,How many people are there?,5,-1,many
amt,How many hands are on the computer?,1,2,2
tdiuc_templates,How many cakes can you see?,6,3,3
imported_genome,How many urinals are there?,7,8,8
imported_vqa,How many laptops are in this picture?,5,2,two
tdiuc_templates,How many people are there?,6,10,ten
tdiuc_templates,How many people can be seen?,5,5,five
imported_vqa,How many slices are cut into the cake?,1,1,1
imported_genome,How many clocks is on the wall?,4,4,4
tdiuc_templates,How many people are visible?,11,20,20
imported_genome,How many mammals are visible here?,1,1,1
imported_genome,How many cups of coffee are there?,1,2,2
imported_vqa,How many pelicans are there?,10,10,10
tdiuc_templates,How many people can be seen?,6,6,six
imported_vqa,How many people are in the photograph?,3,4,4
tdiuc_templates,How many people are in the picture?,6,4,4
imported_vqa,How many umbrellas are there?,7,9,9
imported_vqa,How many fingers are fully visible?,8,10,10
tdiuc_templates,How many broccolis can you see?,6,10,10
tdiuc_templates,How many elephants are in the picture?,4,3,3
imported_genome,How many candles are on the cake?,3,2,2
tdiuc_templates,How many sandwiches are in the picture?,4,0,0
tdiuc_templates,How many bananas are there?,7,10,ten
imported_vqa,How many pineapple?,0,0,0
imported_genome,How many people are wearing masks?,3,3,3
imported_vqa,How many bananas are in the basket?,6,6,6
tdiuc_templates,How many cows are in the picture?,3,4,4
imported_genome,How many streamers are on the kite on the right?,3,2,2
imported_vqa,How many tables are empty?,6,8,8
generate,How many person carrying a surfboard?,0,0,0
tdiuc_templates,How many cows are there?,6,12,12
imported_vqa,How many trains are in the image?,2,1,1
tdiuc_templates,How many motorcycles are there?,5,5,five
tdiuc_templates,How many people are there?,7,10,10
imported_vqa,How many lines are in the snow?,4,2,2
tdiuc_templates,How many people are there?,8,-1,more than ten
amt,How many zebras are drinking water?,0,0,0
tdiuc_templates,How many trains are visible?,2,2,two
tdiuc_templates,How many people can you see?,9,10,10
tdiuc_templates,How many people are in the picture?,7,8,eight
imported_vqa,How many cords are attached to the bar?,3,3,3
tdiuc_templates,How many people can you see?,8,15,15
tdiuc_templates,How many people are there?,6,7,seven
tdiuc_templates,How many vases are there?,11,2,two
imported_genome,How many zebras are there?,6,5,5
tdiuc_templates,How many cakes can be seen?,6,3,3
tdiuc_templates,How many people are in the photo?,13,-1,many
tdiuc_templates,How many dining tables are there?,2,1,one
tdiuc_templates,How many toothbrushes are in the picture?,5,-1,many
tdiuc_templates,How many books can you see?,5,5,5
tdiuc_templates,How many bowls are there?,6,6,6
tdiuc_templates,How many people can you see?,4,3,3
imported_genome,How many people are in the pic?,1,1,1
imported_genome,How many birds are pictured?,8,9,9
imported_genome,How many people are there?,6,6,6
tdiuc_templates,How many people are in the picture?,3,6,six
tdiuc_templates,How many people are there?,3,2,2
tdiuc_templates,How many people can you see?,6,7,7
amt,How many people are wearing sunglasses?,12,-1,many
tdiuc_templates,How many people can be seen?,11,-1,more than ten
tdiuc_templates,How many people are there?,8,10,10
tdiuc_templates,How many people are there?,6,7,7
imported_vqa,How many horses are there?,4,5,5
imported_genome,How many donuts are there in photo?,4,4,four
tdiuc_templates,How many people are there?,2,2,two
imported_genome,How many pictures are there?,11,12,12
tdiuc_templates,How many people are in the picture?,6,6,6
tdiuc_templates,How many people are there?,10,-1,more than ten
tdiuc_templates,How many people are there?,5,10,ten
tdiuc_templates,How many wine glasses are in the picture?,5,5,5
amt,How many buses are double-decker buses?,8,2,2
imported_genome,How many teapots are there?,1,1,1
tdiuc_templates,How many people are in the picture?,5,5,five
tdiuc_templates,How many people can be seen?,5,-1,many
tdiuc_templates,How many people are there?,7,20,20
imported_vqa,How many apples are there?,5,5,5
tdiuc_templates,How many people can be seen?,6,20,20
tdiuc_templates,How many people are in the photo?,4,5,5
imported_genome,How many legs does an elephant have?,4,4,4
imported_vqa,How many balls are on the ground?,7,6,6
tdiuc_templates,How many zebras can be seen?,5,15,15
tdiuc_templates,How many people can be seen?,2,2,2
imported_vqa,How many legs on the zebras in the photo?,12,8,eight
imported_vqa,How many boards are there in the back of the bench?,6,6,6
tdiuc_templates,How many people are there?,5,7,seven
amt,How many skiers are wearing blue?,0,0,0
imported_genome,How many people are pictured?,1,2,2
imported_genome,How many cows are pictured?,6,3,3
imported_genome,How many letters are on the sign?,4,4,4
imported_genome,How many people are in this picture?,3,3,3
tdiuc_templates,How many people are there?,8,-1,more than ten
imported_genome,How many drawers are on the file cabinet?,4,3,three
imported_vqa,How many types of food are there?,5,5,5
imported_genome,How many zebra are there?,3,3,3
imported_genome,How many people are present?,4,4,4
tdiuc_templates,How many people are there?,3,2,two
imported_vqa,How many picture frames are on the wall?,6,4,4
imported_vqa,How many cows are in this picture?,5,5,5
imported_vqa,How many cars of the train can you fully see?,7,6,6
imported_vqa,How many clocks are in this photo?,8,12,12
imported_genome,How many umbrellas are shown?,2,2,2
amt,How many white frosted donuts without sprinkles are on the center top shelf?,6,1,1
imported_genome,How many people are pictured here?,1,1,one
imported_genome,How many microwaves are there?,1,1,1
amt,How many of the rooms have a shower?,1,1,1
tdiuc_templates,How many people are in the photo?,4,5,five
imported_genome,How many zebras are in the photo?,4,5,five
imported_genome,How many babies are there?,1,1,1
tdiuc_templates,How many people are visible?,5,-1,more than ten
imported_vqa,How many apples are there in this picture?,6,6,6
imported_genome,How many people are in the photo?,4,4,4
imported_genome,How many bicycles are in the picture?,2,1,one
imported_vqa,How many zebras?,6,6,6
imported_vqa,How many giraffes are pictured here?,7,7,7
imported_genome,How many elephants?,4,4,4
tdiuc_templates,How many umbrellas are there?,10,10,ten
imported_genome,How many cabinet handles can be seen?,6,5,5
tdiuc_templates,How many people are there?,8,10,10
tdiuc_templates,How many motorcycles are there?,6,6,6
tdiuc_templates,How many people can be seen?,6,-1,many
amt,How many doughnut varieties are with chocolate?,6,6,6
imported_vqa,How many vehicles are in the background?,5,6,6
tdiuc_templates,How many people are there?,8,8,eight
imported_vqa,How many people are pictured?,5,3,three
tdiuc_templates,How many toilets are in the photo?,6,8,eight
tdiuc_templates,How many people are in the picture?,7,2,two
imported_genome,How many cars of blue tanks are in this image?,1,2,2
generate,How many dogs are on he bench in this image?,0,0,0
imported_vqa,How many cars does the train have?,6,4,4
imported_vqa,How many slices are there?,4,4,4
tdiuc_templates,How many people are in the picture?,6,2,two
imported_genome,How many flowers are there?,5,2,2
imported_genome,How many glass make up each window?,8,4,4
tdiuc_templates,How many tvs can you see?,1,1,1
generate,How many people are riding the motorcycle?,0,0,0
imported_vqa,How many apples on the table?,7,11,11
tdiuc_templates,How many bananas can be seen?,9,50,50
imported_vqa,How many fingers are visible?,7,5,5
tdiuc_templates,How many trains are visible?,1,1,one
imported_vqa,How many tiers is the cake?,5,5,5
tdiuc_templates,How many people are there?,2,5,five
imported_vqa,How many people are there?,4,3,three
imported_genome,How many signs can be seen?,7,5,5
imported_vqa,How many zebra legs are there?,4,4,4
tdiuc_templates,How many people are there?,9,-1,many
imported_genome,How many signs are by the building?,7,2,2
imported_vqa,How many pillows are on the bed?,3,4,4
tdiuc_templates,How many vases are there?,7,6,6
tdiuc_templates,How many people are in the photo?,8,20,20
amt,How many identical women in orange shirts can be seen?,2,2,2
tdiuc_templates,How many cakes can be seen?,10,12,12
tdiuc_templates,How many bicycles are visible?,7,15,15
tdiuc_templates,How many people are visible?,2,2,2
imported_vqa,How many horses are there?,3,4,4
imported_vqa,How many fruit do you see?,13,10,10
imported_vqa,How many people are in the photo?,3,5,five
imported_vqa,How many wheels are in this photo?,8,8,8
tdiuc_templates,How many bananas are visible?,4,100,100
imported_genome,How many dogs are in the picture?,1,1,1
tdiuc_templates,How many motorcycles can you see?,4,7,seven
imported_genome,How many claws are visible on the bear's paw?,5,8,8
tdiuc_templates,How many cows are there?,8,10,ten
tdiuc_templates,How many people are there?,5,3,three
tdiuc_templates,How many people can be seen?,10,12,12
imported_vqa,How many people are playing the game?,2,2,two
tdiuc_templates,How many keyboards are there?,13,15,15
tdiuc_templates,How many books can you see?,7,-1,many
imported_genome,How many signs are there?,2,2,2
tdiuc_templates,How many people are there?,9,-1,more than ten
tdiuc_templates,How many donuts are in the picture?,6,24,24
imported_vqa,How many windows in building?,6,10,10
imported_vqa,How many monitors are there?,3,3,3
amt,How many players have red shirts?,5,3,3
tdiuc_templates,How many chairs are there?,5,8,eight
tdiuc_templates,How many bottles are in the photo?,13,13,thirteen
imported_vqa,How many signs total in this picture?,4,4,4
tdiuc_templates,How many tvs are there?,1,1,one
tdiuc_templates,How many people are there?,4,2,2
tdiuc_templates,How many cows are visible?,4,6,six
imported_vqa,How many animals are visible?,7,4,4
imported_vqa,How many fruits are on the plate?,5,10,10
imported_vqa,How many stripes are there on the wall?,1,1,1
imported_genome,How many stories does the building have?,4,4,4
imported_vqa,How many bottles are in front of the man?,7,2,two
imported_genome,How many women are in the photo?,1,1,one
imported_genome,How many chairs are there?,5,6,6
tdiuc_templates,How many bowls are there?,5,5,five
imported_vqa,How many stories are visible?,8,10,10
imported_genome,How many sinks are there?,2,2,2
imported_genome,How many cars are in the picture?,3,3,3
amt,How many windows are facing sunlight?,10,6,6
tdiuc_templates,How many bowls are visible?,6,7,seven
tdiuc_templates,How many bowls are there?,4,3,3
amt,How many ripe bananas are on her head?,15,20,20
tdiuc_templates,How many donuts are there?,9,12,12
imported_vqa,How many of this objects wheels are touching the ground?,0,0,0
tdiuc_templates,How many people can you see?,8,10,10
imported_genome,How many birds are there?,1,1,1
amt,How many cars are to the left of the bus?,2,2,two
tdiuc_templates,How many people are there?,9,-1,many
tdiuc_templates,How many pizzas can you see?,13,12,12
imported_vqa,How many spindles are in the staircase?,11,12,twelve
imported_genome,How many trains moving?,2,1,1
tdiuc_templates,How many kites are in the photo?,6,10,10
tdiuc_templates,How many cows are there?,2,2,2
imported_genome,How many cases are stacked up?,6,10,10
tdiuc_templates,How many motorcycles are visible?,5,10,10
imported_vqa,How many cars can be seen?,2,3,3
tdiuc_templates,How many bananas can be seen?,10,100,100
tdiuc_templates,How many people are there?,12,13,thirteen
tdiuc_templates,How many cakes are there?,9,0,0
imported_vqa,How many animals are present?,6,15,15
imported_genome,How many people are sitting in front of the structure?,5,2,2
imported_genome,How many ships are there?,0,0,0
tdiuc_templates,How many people are there?,3,3,3
tdiuc_templates,How many people are there?,3,5,five
imported_vqa,How many zebras?,2,2,2
tdiuc_templates,How many cakes are there?,8,9,nine
imported_vqa,How many cows?,5,6,6
imported_vqa,How many doors are visible on the train?,6,4,4
imported_vqa,How many elephants are in the photo?,6,6,6
imported_vqa,How many bats can you see in the picture?,10,15,15
tdiuc_templates,How many bottles are in the photo?,6,-1,more than ten
imported_genome,How many people are there in this picture?,1,1,1
tdiuc_templates,How many people are in the picture?,13,10,ten
imported_vqa,How many feet are in the picture?,6,4,4
tdiuc_templates,How many people can be seen?,7,10,10
tdiuc_templates,How many people are in the photo?,3,3,3
tdiuc_templates,How many people are in the picture?,5,10,10
imported_vqa,How many glasses?,3,2,two
amt,How many people are dancing in tennis game?,0,0,0
imported_genome,How many numbers are on the train?,6,4,4
imported_vqa,How many animals are in the picture?,6,8,8
tdiuc_templates,How many broccolis can you see?,8,10,10
imported_genome,How many bikes are in the picture?,5,6,6
amt,How many white signs are in the picture?,5,2,two
imported_vqa,How many people are in this photo?,3,3,3
imported_vqa,How many ears are visible?,1,1,1
imported_genome,How many bowls are there in the picture?,4,4,4
imported_vqa,How many boards are there?,6,6,6
imported_vqa,How many toasters?,5,2,2
imported_vqa,How many animals are in this picture?,5,5,five
imported_vqa,How many bunches are on this scene?,5,6,6
tdiuc_templates,How many people are there?,5,4,four
tdiuc_templates,How many elephants are visible?,8,10,ten
imported_vqa,How many images are in this image?,4,4,4
imported_genome,How many sheep are there?,8,20,20
imported_genome,How many pillows are in the couch?,4,4,4
imported_vqa,How many wheels are there?,8,6,6
imported_vqa,How many animals are there?,12,15,15
imported_vqa,How many numbers are on the clock?,4,12,12
tdiuc_templates,How many people are there?,3,5,5
tdiuc_templates,How many bananas are there?,12,25,25
imported_vqa,How many people are in the room?,5,1,one
imported_genome,How many animals are there?,6,5,5
imported_genome,How many people are there?,4,2,2
tdiuc_templates,How many chairs are there?,4,4,4
imported_vqa,How many people?,10,10,10
tdiuc_templates,How many boats are visible?,3,4,four
tdiuc_templates,How many people are there?,4,5,5
imported_vqa,How many people is in the canoe?,6,6,6
tdiuc_templates,How many broccolis can you see?,6,4,4
imported_genome,How many birds are shown?,1,1,1
tdiuc_templates,How many cows are there?,7,8,eight
tdiuc_templates,How many trains are there?,7,4,four
tdiuc_templates,How many people are there?,5,10,10
tdiuc_templates,How many bowls are there?,2,1,one
amt,How many white objects are present in this picture?,5,4,4
tdiuc_templates,How many broccolis are there?,6,7,seven
imported_genome,How many surfboards are in the picture?,2,3,3
imported_vqa,How many lights are there?,2,2,two
tdiuc_templates,How many handbags are there?,1,1,one
imported_vqa,How many lights are lit?,1,1,one
tdiuc_templates,How many people can you see?,6,20,20
imported_vqa,How many people are riding?,4,5,5
tdiuc_templates,How many people are in the picture?,7,6,six
tdiuc_templates,How many bananas are in the photo?,9,100,100
imported_vqa,How many people are in the water?,6,10,10
imported_vqa,How many bananas can be seen?,7,7,seven
imported_vqa,How many stories are in the building?,3,3,three
imported_vqa,How many black keys are on the keyboard?,13,12,twelve
imported_genome,How many benches are there?,3,2,two
imported_vqa,How many clocks?,8,6,6
tdiuc_templates,How many ovens are there?,1,2,2
tdiuc_templates,How many people are in the picture?,6,5,5
tdiuc_templates,How many hot dogs are there?,14,24,24
tdiuc_templates,How many umbrellas are in the picture?,4,9,9
tdiuc_templates,How many tennis rackets are there?,3,6,6
amt,How many floor tiles are damaged?,3,10,10
imported_vqa,How many zebras are in the photo?,5,5,5
tdiuc_templates,How many people are there?,4,5,5
imported_vqa,How many pillows are on the two couches?,5,4,4
imported_vqa,How many zebras are there in this picture?,6,7,7
tdiuc_templates,How many umbrellas are there?,5,-1,more than ten
imported_vqa,How many bottles are there?,4,5,five
imported_vqa,How many windows are there?,2,2,2
tdiuc_templates,How many wine glasses are in the picture?,5,6,six
tdiuc_templates,How many sheep are there?,3,4,four
tdiuc_templates,How many oranges are there?,6,7,7
imported_vqa,How many chairs are at the table?,6,4,4
imported_vqa,How many donuts are left?,12,12,12
tdiuc_templates,How many chairs are visible?,5,6,6
imported_genome,How many birds are there?,1,1,1
tdiuc_templates,How many cars can you see?,4,7,7
tdiuc_templates,How many people are in the picture?,7,6,6
generate,How many bikes are there?,0,0,0
imported_genome,How many motor vehicles are in the photo?,4,5,5
tdiuc_templates,How many giraffes can be seen?,2,3,3
imported_vqa,How many birds are on this wire?,6,7,7
amt,How many fruits are to the left of the knife?,4,3,3
imported_vqa,How many zebras are pictured?,5,5,five
imported_genome,How many bikes are there?,4,5,5
tdiuc_templates,How many cars are there?,4,7,seven
imported_genome,How many dinosaurs are in the picture?,0,0,zero
imported_vqa,How many people are at the table?,5,6,6
imported_vqa,How many people are standing in a line?,6,10,10
imported_vqa,How many people are posing for a photo?,4,5,5
imported_genome,How many stacks of magazines?,6,5,5
tdiuc_templates,How many people are there?,2,3,3
imported_genome,How many mammals are seen?,2,2,2
imported_vqa,How many trains do you see?,2,1,one
tdiuc_templates,How many people are visible?,5,7,seven
imported_vqa,How many clocks are on the tree?,4,5,five
imported_genome,How many pineapples are in the box on the right?,6,6,6
generate,How many umbrellas in this picture are yellow?,0,0,0
imported_genome,How many desserts are on the plate?,9,12,12
tdiuc_templates,How many benches are visible?,2,2,two
tdiuc_templates,How many traffic lights can you see?,13,20,20
imported_vqa,How many surfboards?,7,7,7
generate,How many people are pictured?,0,-1,none
tdiuc_templates,How many birds are in the photo?,9,10,10
imported_vqa,How many people are watching the skateboarder?,6,6,6
tdiuc_templates,How many toilets are there?,6,0,0
imported_vqa,How many eyes are in this photo?,8,8,8
imported_vqa,How many people are in the picture?,7,6,six
imported_vqa,How many beds are in the room?,2,2,two
tdiuc_templates,How many skateboards are there?,2,3,3
imported_genome,How many zebras?,4,4,4
imported_vqa,How many candles?,6,6,6
imported_genome,How many women are in this picture?,1,1,1
tdiuc_templates,How many bottles are there?,8,2,two
tdiuc_templates,How many people are in the photo?,2,2,2
generate,How many chairs are behind the pole?,0,3,3
imported_genome,How many zebras are shown?,4,4,4
tdiuc_templates,How many cows are in the photo?,7,8,8
tdiuc_templates,How many people can you see?,7,5,5
tdiuc_templates,How many people are there?,7,10,10
tdiuc_templates,How many cars are there?,2,6,six
tdiuc_templates,How many people are there?,7,10,10
imported_vqa,How many bikes are on the road?,10,10,10
imported_genome,How many men are on the field?,5,3,3
generate,How many sinks are in the bathroom?,0,1,one
imported_vqa,How many stars are on the plane?,10,8,8
tdiuc_templates,How many people can be seen?,4,5,five
tdiuc_templates,How many people can you see?,6,7,7
amt,How many large elephants are standing?,2,2,2
imported_genome,How many slices are there?,6,8,8
imported_vqa,How many zebras are visible?,6,7,seven
imported_vqa,How many bags is the woman holding?,0,1,one
tdiuc_templates,How many people are there?,6,10,10
generate,How many benches are there?,0,1,one
imported_genome,How many steps are there to the door?,4,3,3
imported_vqa,How many lights are in this bathroom?,5,4,4
imported_vqa,How many planes are there?,4,4,4
tdiuc_templates,How many buses are there?,3,2,2
tdiuc_templates,How many backpacks are in the picture?,2,1,1
imported_vqa,How many young cows are there?,3,1,one
imported_genome,How many people are in the crowd?,11,15,15
amt,How many empty blue squares are there?,12,3,3
tdiuc_templates,How many people are there?,5,-1,many
imported_vqa,How many huts is there?,4,5,5
tdiuc_templates,How many cakes are in the photo?,3,2,two
tdiuc_templates,How many people are there?,7,5,5
tdiuc_templates,How many people are in the picture?,7,20,20
imported_genome,How many electrical outlets are shown?,2,4,4
imported_genome,How many boats are there?,8,4,4
imported_genome,How many chairs are visible?,3,2,2
tdiuc_templates,How many people can you see?,8,-1,many
tdiuc_templates,How many people are there?,8,-1,more than ten
imported_vqa,How many different food groups are on the plate?,3,3,3
imported_vqa,How many train cars can you see in this picture?,7,6,6
tdiuc_templates,How many ties are in the picture?,6,1,one
tdiuc_templates,How many chairs can be seen?,5,4,4
generate,How many donuts are in the box?,0,0,0
imported_genome,How many jets are flying?,4,6,6
tdiuc_templates,How many giraffes can be seen?,6,5,5
imported_vqa,How many people are using umbrellas in this picture?,5,3,3
tdiuc_templates,How many people are in the picture?,9,15,15
imported_genome,How many people are in this picture?,6,6,6
imported_vqa,How many cups are there?,1,1,one
tdiuc_templates,How many people can be seen?,11,-1,many
tdiuc_templates,How many people can be seen?,2,10,10
tdiuc_templates,How many people are there?,6,5,five
generate,How many clocks in the photo?,0,0,0
generate,How many people are holding a remote controller?,0,0,0
imported_vqa,How many teams are on the wall?,12,3,3
tdiuc_templates,How many people can be seen?,5,10,10
imported_vqa,How many people are in the image?,4,4,four
generate,How many people are facing the camera?,0,0,0
tdiuc_templates,How many people are in the photo?,4,5,five
imported_vqa,How many buttons are on this cell phone dial pad?,15,20,20
tdiuc_templates,How many carrots are there?,8,10,10
tdiuc_templates,How many motorcycles are visible?,5,5,five
imported_vqa,How many fruit are in the bowl?,11,10,10
tdiuc_templates,How many pizzas are in the picture?,4,2,2
generate,How many horses are in the scene?,0,0,0
imported_genome,How many people are shown?,4,5,5
imported_vqa,How many cars are on the near side of the street?,10,10,10
imported_vqa,How many men are there?,6,7,seven
imported_vqa,How many pizzas are there?,5,6,6
imported_genome,How many donuts are there?,12,12,12
generate,How many trains can pass through this spot at once?,0,0,0
imported_vqa,How many kites are up in the air?,6,6,6
imported_vqa,How many train wheels can be seen in this picture?,7,8,8
imported_genome,How many sinks?,2,2,2
tdiuc_templates,How many people can be seen?,6,10,10
imported_vqa,How many people are standing in this scene?,6,6,6
tdiuc_templates,How many bowls are in the photo?,5,5,5
tdiuc_templates,How many people are there?,5,6,6
imported_vqa,How many zebra are in this scene?,5,5,5
tdiuc_templates,How many people are in the picture?,5,4,four
imported_genome,How many animals are in the picture?,11,10,10
imported_genome,How many nobs are on the chest?,6,4,4
tdiuc_templates,How many people can you see?,8,15,15
imported_vqa,How many are wearing glasses?,2,2,two
tdiuc_templates,How many cars are there?,6,10,10
tdiuc_templates,How many people are in the picture?,8,10,10
tdiuc_templates,How many pizzas are there?,7,6,6
imported_genome,How many boats are pictured?,10,10,10
imported_vqa,How many animals?,3,3,3
imported_vqa,How many types of veggies are in the image?,3,3,3
imported_genome,How many strings does the guitar have?,6,6,6
imported_genome,How many crosswalk lines are there?,4,4,4
tdiuc_templates,How many dining tables are visible?,2,6,6
imported_genome,How many chairs are there?,1,1,1
imported_genome,How many people?,1,1,1
tdiuc_templates,How many cars are in the picture?,4,5,five
imported_vqa,How many horns are there in the picture?,8,8,8
imported_genome,How many elephants are shown?,3,3,3
tdiuc_templates,How many people can you see?,2,10,10
tdiuc_templates,How many people are in the photo?,7,6,six
imported_vqa,How many blades on the propeller?,4,4,four
imported_vqa,How many zebra?,5,10,10
imported_genome,How many different types of fruit are there?,2,2,2
tdiuc_templates,How many people are there?,13,12,12
tdiuc_templates,How many people can be seen?,5,-1,many
tdiuc_templates,How many apples can be seen?,4,4,four
tdiuc_templates,How many cows are in the picture?,8,10,10
generate,How many cars are to the right?,0,0,0
tdiuc_templates,How many people are there?,12,-1,many
tdiuc_templates,How many people can be seen?,4,10,10
imported_vqa,How many chimneys are shown?,3,6,6
tdiuc_templates,How many broccolis are in the picture?,6,-1,many
tdiuc_templates,How many people are there?,12,-1,more than ten
imported_genome,How many zebras?,3,4,4
imported_genome,How many buses are there?,1,1,1
imported_vqa,How many persons have glasses?,7,6,6
tdiuc_templates,How many bananas can be seen?,11,100,100
amt,How many people are standing on the sideline?,8,7,7
imported_vqa,How many zebras are in the picture?,6,5,5
tdiuc_templates,How many chairs are in the photo?,6,1,one
tdiuc_templates,How many people are there?,8,10,10
imported_vqa,How many people in the boat?,6,8,8
tdiuc_templates,How many people are there?,7,-1,more than ten
tdiuc_templates,How many chairs are there?,5,10,10
imported_genome,How many hanging flags are there?,4,4,4
imported_genome,How many flower pots are there?,3,4,4
tdiuc_templates,How many cups are there?,1,2,2
amt,How many of the train cars are yellow and red?,1,3,3
amt,How many words start with 'b' on the sign?,3,3,3
generate,How many cats are in this picture?,0,0,0
amt,How many player's numbers are showing on their jerseys?,9,12,12
tdiuc_templates,How many chairs can be seen?,4,10,ten
imported_vqa,How many numbers are on the clock?,12,12,12
tdiuc_templates,How many toilets can be seen?,9,10,10
imported_genome,How many oranges are visible?,15,20,20
tdiuc_templates,How many umbrellas are there?,9,20,twenty
imported_vqa,How many elephants are in the image?,3,3,3
tdiuc_templates,How many people can be seen?,7,-1,more than ten
tdiuc_templates,How many suitcases are there?,3,4,4
tdiuc_templates,How many people are in the photo?,8,20,20
tdiuc_templates,How many umbrellas are visible?,3,3,three
imported_genome,How many people are in the photo?,7,8,8
tdiuc_templates,How many people are there?,3,4,4
imported_vqa,How many pictures are on the wall?,1,1,one
imported_vqa,How many bananas is she holding?,5,8,8
tdiuc_templates,How many sheep are there?,4,5,five
imported_genome,How many taxis are there?,5,2,two
tdiuc_templates,How many people are there?,6,10,10
tdiuc_templates,How many books are in the photo?,5,20,20
tdiuc_templates,How many motorcycles are there?,3,5,five
imported_vqa,How many plates are stacked?,3,2,2
imported_genome,How many name magnets are on the refrigerator?,3,1,1
imported_vqa,How many of them are there?,13,12,12
imported_genome,How many people are in the photo?,8,6,6
tdiuc_templates,How many people are there?,6,-1,many people
imported_vqa,How many birds are in the tree?,6,5,5
amt,How many brown bulls are in the field?,3,3,3
imported_vqa,How many players are there on the field?,6,4,four
tdiuc_templates,How many people can you see?,11,10,10
imported_vqa,How many traffic lights are shown?,4,3,3
tdiuc_templates,How many broccolis are there?,5,7,seven
amt,How many signs are in all of the baskets?,5,8,8
tdiuc_templates,How many people are in the photo?,9,-1,more than ten
imported_genome,How many types are trucks can be seen in the picture?,3,2,2
imported_vqa,How many people are sitting?,0,0,0
